number,first_name,last_name,position,age,culture,height,weight,school,college_name,region,division,scout_name,season,week,evaluation,range,confidence,text,player_id
12,Joseph,Jordan,WR,21,Aggressive,71,208,Colorado,Bison,Rockies,1,American Player Scouts,1,19,78,2,65,"Joseph is a capable Wide Receiver and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. Jordan could benefit from some more reps at WR. Jordan should spend more time in the film room to help improve his inconsistent play. He enrolled a semester early at Colorado and it paid off, as he was named a second-team All-League pick in 2022. Joseph has the talent to become a great PFL player someday. ",49389648
9,Willie,Stroud,QB,22,Aggressive,75,211,Air Force,Pilots,Rockies,1,American Player Scouts,1,19,78,2,65,"Stroud should be an early backup with the potential to eventually step into a starting role. He is likely to be a second day selection during the PFL Draft. Stroud occasionally looks like a reliable PFL passer on the field. Overall, Willie was generally solid, but sometimes made some mistakes. Stroud is low-key and calm off the field, and is likely to remain focused. He enrolled a semester early at Air Force and it paid off, as he was named a second-team All-League pick in 2022. Brings sky-high upside for the team that can develop him. ",49389544
6,Jordan,Carlin,QB,22,Adaptable,75,216,Memphis,Lions,South,1,American Player Scouts,1,22,78,2,65,"Jordan is a capable Quarterback and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. Carlin occasionally looks like a reliable PFL passer on the field. Overall, Jordan was generally solid, but sometimes made some mistakes. Carlin is low-key and calm off the field, and is likely to remain focused. Carlin was one of the best players in college football in 2025, producing a superb season for the Lions. Carlin is a player that has the potential to become an All-Pro someday. ",49389553
74,Austin,Newman,G,20,Adaptable,75,286,Georgia,Dawgs,South,1,American Player Scouts,1,22,78,2,65,"Newman should be an early backup with the potential to eventually step into a starting role. He is likely to be a second day selection during the PFL Draft. As a pass blocker, he has the strength to rock defenders and often knock them off balance to slow them down. Overall, Austin was generally solid, but sometimes made some mistakes. A physically intimidating G that has many pro skills. Newman is low-key and calm off the field, and is likely to remain focused. In his final collegiate season, he was voted a team captain, started all games at Left Guard, earned second-team All-American honors, and was recognized as a first-team All-Conference selection. Newman should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389713
41,Dallas,Ross,MLB,21,Strategic,76,269,West Virginia,Miners,Appalachia,1,American Player Scouts,1,25,78,2,65,"Ross has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. He is likely to be a second day selection during the PFL Draft. Dallas does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. Long, athletic linebacker who makes his presence on the field known. He can handle some coverage chores but it's not his strong suit. Overall, Dallas was generally solid, but sometimes made some mistakes. Dallas's size and athleticism made him one of the top recruits in the country. He enrolled a semester early at West Virginia and it paid off, as he was named a second-team All-League pick in 2022. Dallas showed great development during his time at West Virginia, and he expects to continue after transitioning to the pros. ",49389835
46,Quinton,McDuffie,FB,21,,71,272,Auburn,Wildcats,South,1,Media,1,2,77,5,50,,49389591
73,De'Veon,Brown,G,21,,79,315,Fresno State,Dogs,California,1,Media,1,2,77,5,50,,49389687
15,Lance,McConnell,QB,20,,74,205,Durham,Devils,South,1,Media,1,2,77,5,50,,49389551
89,John,Hopkins,WR,21,,69,203,Evanston,Panthers,Midwest,1,Media,1,2,77,5,50,,49389636
57,Gabriel,Wright,OLB,23,,72,280,Southern California,Spartans,California,1,Media,1,2,77,5,50,,49389857
20,Louis,Hilton,HB,21,,69,199,Navy,Sailors,Mid-Atlantic,1,Media,1,2,77,5,50,,49389572
10,Darqueze,Thompson,WR,23,,71,184,Southern Mississippi,Golden Peregrines,South,1,Media,1,2,77,5,50,,49389626
50,Jacob,Martin,OLB,23,,72,248,Western Illinois,Snapping Turtles,Midwest,2,Media,1,2,77,5,50,,49389841
86,Eric,Lewis,TE,23,,78,240,Missouri,Lions,South,1,Media,1,2,77,5,50,,49389649
39,Don,Corley,S,23,,74,171,Clemson,Wildcats,South,1,Media,1,2,77,5,50,,49389937
29,Dezmen,Peterson,K,22,,69,174,Clemson,Wildcats,South,1,Media,1,2,77,5,50,,49389949
64,Dion,Green,T,23,,75,325,Alabama,Red Wave,South,1,Media,1,2,77,5,50,,49389672
60,Albert,Jenkins,DE,21,,78,274,South Bend,Leprechauns,Midwest,1,Media,1,2,77,5,50,,49389747
29,Jake,McNeill,CB,21,Professional,75,184,North Carolina State,Wolves,South,1,American Player Scouts,1,6,77,2,65,,49389902
63,Mike,Lewis,DE,22,Adaptable,75,291,Tennessee,Militiamen,South,1,American Player Scouts,1,6,77,2,65,,49389766
7,Preston,Mason,HB,21,Professional,71,196,Arizona State,Sun Demons,Southwest,1,American Player Scouts,1,7,77,2,65,,49389566
35,Dean,Beverly,S,22,Aggressive,74,187,Southern California,Spartans,California,1,American Player Scouts,1,8,77,2,65,,49389917
24,Tarell,Ingram,CB,22,Aggressive,69,170,Fresno State,Dogs,California,1,American Player Scouts,1,8,77,2,65,,49389888
65,Justin,Murray,T,22,Professional,75,301,Youngstown State,Orcas,Midwest,2,American Player Scouts,1,10,77,2,65,,49389676
86,Derrick,Murry,TE,23,Adaptable,77,247,Indiana State,Oaks,Midwest,2,American Player Scouts,1,11,77,2,65,,49389650
82,Louis,Lang,WR,21,Adaptable,78,219,Maryland,Turtles,Mid-Atlantic,1,American Player Scouts,1,14,77,2,65,,49389635
47,Trent,McKnight,MLB,22,Aggressive,75,220,Auburn,Wildcats,South,1,American Player Scouts,1,18,77,2,65,"Trent is a capable Middle Linebacker and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. McKnight continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. Trent does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. Long, athletic linebacker who makes his presence on the field known. Trent proved to our scouts that his performance matched his reputation. McKnight is low-key and calm off the field, and is likely to remain focused. McKnight looks like a potential first- or second-round pick for the  2025 PFL Draft. McKnight should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389830
51,Ben,Martin,DE,22,Strategic,79,283,Clemson,Wildcats,South,1,American Player Scouts,1,18,77,2,65,"Martin has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. He is likely to be a second day selection during the PFL Draft. Martin continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. He needs to add a few more items to his rush menu in order to maintain his rush production against PFL tackles. In the ground game, Ben is generally reliable at holding his gap. He does not get knocked off the ball and is able to set the edge. Martin should spend more time in the film room to help improve his inconsistent play. Ben's size and athleticism made him one of the top recruits in the country. Martin looks like a potential first- or second-round pick for the  2025 PFL Draft. Ben has the talent to become a great PFL player someday. ",49389758
82,Javorius,Harper,WR,20,Aggressive,76,215,Colorado State,Goats,Rockies,1,American Player Scouts,1,20,77,2,65,"Harper has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. He is likely to be a second day selection during the PFL Draft. Will likely see the field in the PFL, but not on every down. Javorius proved to our scouts that his performance matched his reputation. Harper looks like a potential first- or second-round pick for the  2025 PFL Draft. For the time our scouts watched him, Harper kept up, but didn't show he had long-term potential for greatness. ",49389613
9,Willie,Stroud,QB,22,Aggressive,75,211,Air Force,Pilots,Rockies,1,American Player Scouts,1,20,77,2,65,"Willie is a capable Quarterback and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. Overall, Willie was generally solid, but sometimes made some mistakes. Stroud is low-key and calm off the field, and is likely to remain focused. Stroud looks like a potential first- or second-round pick for the  2025 PFL Draft. His name was mentioned many times by our scouts after leaving the facility for showing outstanding leadership potential. ",49389544
39,Randy,Floyd,FB,20,Adaptable,69,247,Arkansas,Boars,South,1,American Player Scouts,1,22,77,2,65,"Randy is a capable Fullback and his skills would add depth to any team. He is likely to be a second day selection during the PFL Draft. Floyd should spend more time in the film room to help improve his inconsistent play. Floyd is low-key and calm off the field, and is likely to remain focused. Floyd looks like a potential first- or second-round pick for the  2025 PFL Draft. Randy showed great development during his time at Arkansas, and he expects to continue after transitioning to the pros. ",49389589
24,Ricardo,Ritter,S,21,,72,204,Arkansas,Boars,South,1,Media,1,2,76,5,50,,49389933
40,Jack,Warfield,MLB,23,,72,274,Michigan,Weasels,Midwest,1,Media,1,2,76,5,50,,49389828
20,Denis,Johnson,HB,21,,73,195,Mississippi,Insurgents,South,1,Media,1,2,76,5,50,,49389568
4,Vincent,Henry,QB,23,,77,215,South Bend,Leprechauns,Midwest,1,Media,1,2,76,5,50,,49389549
7,Preston,Mason,HB,21,,71,196,Arizona State,Sun Demons,Southwest,1,Media,1,2,76,5,50,,49389566
5,Robert,Sexton,QB,23,,76,219,Arizona State,Sun Demons,Southwest,1,Media,1,2,76,5,50,,49389542
66,Antonio,Martin,C,22,Strategic,79,325,Arizona State,Sun Demons,Southwest,1,American Player Scouts,1,7,76,2,65,,49389705
59,Perry,Dean,T,22,Adaptable,77,299,Texas Christian,Gila Monsters,Texas,1,American Player Scouts,1,9,76,2,65,,49389675
98,Josh,Carter,MLB,22,Adaptable,77,253,Houston,Lynxes,Texas,1,American Player Scouts,1,9,76,2,65,,49389840
59,Kevin,Floyd,MLB,20,Aggressive,75,247,Ohio State,Acorns,Midwest,1,American Player Scouts,1,10,76,2,65,,49389833
15,Lance,McConnell,QB,20,Aggressive,74,205,Durham,Devils,South,1,American Player Scouts,1,12,76,2,65,,49389551
10,Darqueze,Thompson,WR,23,Aggressive,71,184,Southern Mississippi,Golden Peregrines,South,1,American Player Scouts,1,12,76,2,65,,49389626
64,Dion,Green,T,23,Energetic,75,325,Alabama,Red Wave,South,1,American Player Scouts,1,12,76,2,65,,49389672
40,Corey,Hearn,HB,21,Energetic,70,191,Oklahoma State,Rangers,Great Plains,1,American Player Scouts,1,17,76,2,65,"Corey is a capable Halfback and his skills would add depth to any team. Hearn runs with good elusiveness but stays in that mode a little too long, which can affect his ability to finish with authority. He's a solid back but not overly dynamic and lacks the desired third-down value right now. Hearn should spend more time in the film room to help improve his inconsistent play. Hearn looks like a potential first- or second-round pick for the  2025 PFL Draft. Hearn should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389586
31,Nickell,Miller,S,23,Aggressive,71,190,Louisville,Finches,South,1,American Player Scouts,1,18,76,2,65,"Miller has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. Miller continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. Nickell does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. He is susceptible to giving up some separation early in routes as he turns to trailing technique. Nickell is a dynamic defender in the middle of the field thanks to being extremely well-rounded. Nickell is also a willing run defender who will contribute to the ground defense and tackle. He fights off blocks, fires to the ball, and shows nice tackling technique for a corner. There's potential for him to play the roaming safety role in the middle of the field because his instincts put him in position to make plays on the ball. Overall, Nickell was generally solid, but sometimes made some mistakes. Miller looks like a potential first- or second-round pick for the  2025 PFL Draft. Miller is a player that has the potential to become an All-Pro someday. ",49389914
4,David,Moore,QB,21,Energetic,75,230,Georgia,Dawgs,South,1,American Player Scouts,1,22,76,2,65,"Moore should be an early backup with the potential to eventually step into a starting role. Despite favorable mechanics, his accuracy and ball placement need work. Moore should spend more time in the film room to help improve his inconsistent play. Moore looks like a potential first- or second-round pick for the  2025 PFL Draft. He brings great upside, and his potential shouldn't be overlooked. ",49389559
41,Dallas,Ross,MLB,21,Strategic,76,269,West Virginia,Miners,Appalachia,1,American Player Scouts,1,24,76,2,65,"Dallas is a capable Middle Linebacker and his skills would add depth to any team. Dallas does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. Long, athletic linebacker who makes his presence on the field known. He can handle some coverage chores but it's not his strong suit. Overall, Dallas was generally solid, but sometimes made some mistakes. Ross looks like a potential first- or second-round pick for the  2025 PFL Draft. He brings great upside, and his potential shouldn't be overlooked. ",49389835
43,Bruce,Carter,CB,21,Adaptable,70,211,Penn State,Mountain Lions,Appalachia,1,American Player Scouts,1,24,76,2,65,"Carter should be an early backup with the potential to eventually step into a starting role. Bruce does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. He is susceptible to giving up some separation early in routes as he turns to trailing technique. Bruce is a dynamic defender in the middle of the field thanks to being extremely well-rounded. Bruce is also a willing run defender who will contribute to the ground defense and tackle. He fights off blocks, fires to the ball, and shows nice tackling technique for a corner. Our scouts noted Bruce's play was consistently impressive. Carter looks like a potential first- or second-round pick for the  2025 PFL Draft. Carter is a player that has the potential to become an All-Pro someday. ",49389879
9,Morgan,Diaz,K,23,,74,212,Auburn,Wildcats,South,1,Media,1,2,75,5,50,,49389943
31,Nickell,Miller,S,23,,71,190,Louisville,Finches,South,1,Media,1,2,75,5,50,,49389914
33,Ezekiel,Williams,FB,21,,69,229,Georgia,Dawgs,South,1,Media,1,2,75,5,50,,49389592
47,Trent,McKnight,MLB,22,,75,220,Auburn,Wildcats,South,1,Media,1,2,75,5,50,,49389830
54,Henry,Spaulding,DE,21,,79,252,Maryland,Turtles,Mid-Atlantic,1,Media,1,2,75,5,50,,49389768
86,Derrick,Murry,TE,23,,77,247,Indiana State,Oaks,Midwest,2,Media,1,2,75,5,50,,49389650
37,Mark,Waiters,CB,21,,71,207,Texas A&M,Ranchers,Texas,1,Media,1,2,75,5,50,,49389890
14,A.J.,Watkins,WR,22,,74,200,Mississippi State,Wild Dogs,South,1,Media,1,2,75,5,50,,49389633
50,Wendell,Barbee,DE,22,,78,295,Memphis,Lions,South,1,Media,1,2,75,5,50,,49389753
75,John,Griffin,G,21,,75,298,Kentucky,Tigers,South,1,Media,1,2,75,5,50,,49389722
40,Corey,Hearn,HB,21,,70,191,Oklahoma State,Rangers,Great Plains,1,Media,1,2,75,5,50,,49389586
59,Brian,Ashe,MLB,23,,75,276,Georgia,Dawgs,South,1,Media,1,2,75,5,50,,49389825
88,Demetri,Gorham,TE,22,,77,255,Auburn,Wildcats,South,1,Media,1,2,75,5,50,,49389654
7,Brandon,Andrews,P,21,,73,215,Tennessee,Militiamen,South,1,Media,1,2,75,5,50,,49389966
81,Josh,Wolfe,WR,23,,71,197,Michigan,Weasels,Midwest,1,Media,1,2,75,5,50,,49389624
66,Antonio,Martin,C,22,,79,325,Arizona State,Sun Demons,Southwest,1,Media,1,2,75,5,50,,49389705
58,Abelardo,Cameron,DT,22,,77,315,Middle Tennessee,Blue Pillagers,South,1,Media,1,2,75,5,50,,49389804
53,Jordan,McNeal,DT,21,Professional,76,308,California,Golden Cubs,California,1,American Player Scouts,1,8,75,2,65,,49389797
67,Keith,Walker,DT,21,Energetic,74,320,Minnesota,Golden Squirrels,Midwest,1,American Player Scouts,1,10,75,2,65,,49389781
91,Willie,Williford,MLB,22,Strategic,78,221,Western Illinois,Snapping Turtles,Midwest,2,American Player Scouts,1,10,75,2,65,,49389836
58,Erik,Platt,T,21,Energetic,76,287,Syracuse,Lakers,New York,1,American Player Scouts,1,13,75,2,65,,49389735
59,Brian,Ashe,MLB,23,Strategic,75,276,Georgia,Dawgs,South,1,American Player Scouts,1,15,75,2,65,"Ashe should be an early backup with the potential to eventually step into a starting role. Ashe continued to pick up elements of the defensive scheme and his play has steadily transformed from hesitant in 2023 to downright instinctive in 2025. Brian does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. He has average size and instincts for work between the tackles, but the pursuit speed and tackling talent to run and hit from sideline to sideline. Brian proved to our scouts that his performance matched his reputation. Ashe looks like a potential first- or second-round pick for the  2025 PFL Draft. For the time our scouts watched him, Ashe kept up, but didn't show he had long-term potential for greatness. ",49389825
5,Sean,Nash,QB,23,Professional,71,204,North Dakota State,Buffaloes,Great Plains,2,American Player Scouts,1,17,75,2,65,"Nash should be an early backup with the potential to eventually step into a starting role. There is nothing special about Nash's size, but his improved confidence and field command has really helped him mature at the position. Despite favorable mechanics, his accuracy and ball placement need work. Our scouts noted Sean's play was consistently impressive. Nash is low-key and calm off the field, and is likely to remain focused. Nash looks like a potential first- or second-round pick for the  2025 PFL Draft. Brings sky-high upside for the team that can develop him. ",49389546
82,Javorius,Harper,WR,20,Aggressive,76,215,Colorado State,Goats,Rockies,1,American Player Scouts,1,19,75,2,65,"Harper has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. A decent WR in 4- or 5-WR sets, but probably won't be a primary PFL receiver. Overall, Javorius was generally solid, but sometimes made some mistakes. Harper looks like a potential first- or second-round pick for the  2025 PFL Draft. Harper should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389613
9,Willie,Stroud,QB,22,Aggressive,75,211,Air Force,Pilots,Rockies,1,American Player Scouts,1,20,75,2,65,"Stroud should be an early backup with the potential to eventually step into a starting role. Overall, Willie was generally solid, but sometimes made some mistakes. Stroud is low-key and calm off the field, and is likely to remain focused. Stroud looks like a potential first- or second-round pick for the  2025 PFL Draft. His name was mentioned many times by our scouts after leaving the facility for showing outstanding leadership potential. ",49389544
15,Garett,Fuentes,K,23,Strategic,75,166,North Carolina Central,Turkeys,South,2,American Player Scouts,1,22,75,2,65,"Fuentes has the physical attributes and athletic ability to make plays as an eventual starter but he might lack three-down versatility. Our scouts noted Garett's play was consistently impressive. Fuentes may actually end up being limited to the slot as a pro because of his thin frame and low weight. Fuentes is low-key and calm off the field, and is likely to remain focused. Fuentes looks like a potential first- or second-round pick for the  2025 PFL Draft. For the time our scouts watched him, Fuentes kept up, but didn't show he had long-term potential for greatness. ",49389941
49,Doug,Arnold,TE,22,Strategic,78,247,Louisiana State,Cougars,South,1,American Player Scouts,1,23,75,2,65,Doug is a capable Tight End and his skills would add depth to any team. Tight end with some vertical talent who can't be expected to add much as an in-line blocker. He can improve as a route-runner but might have three-level potential as a pass-catcher. Arnold should spend more time in the film room to help improve his inconsistent play. Arnold looks like a potential first- or second-round pick for the  2025 PFL Draft. Brings sky-high upside for the team that can develop him. ,49389666
85,Dan,Young,WR,21,,70,197,Indiana,Groundhogs,Midwest,1,Media,1,2,74,5,50,,49389621
60,Nevin,Roberts,DT,21,,76,293,Texas A&M,Ranchers,Texas,1,Media,1,2,74,5,50,,49389791
12,Cole,Clay,OLB,23,,78,245,New Jersey,Paladins,Mid-Atlantic,1,Media,1,2,74,5,50,,49389846
70,Matt,McClure,T,20,,77,328,Tulsa,Tornadoes,Great Plains,1,Media,1,2,74,5,50,,49389741
1,DaQuan,Welch,CB,22,,70,207,Southern,Pumas,South,2,Media,1,2,74,5,50,,49389892
46,James,Cannon,WR,21,,75,192,Central Florida,Paladins,Florida,1,Media,1,2,74,5,50,,49389611
91,Willie,Williford,MLB,22,,78,221,Western Illinois,Snapping Turtles,Midwest,2,Media,1,2,74,5,50,,49389836
67,Ka'Deem,Glaser,T,20,,76,328,Georgia,Dawgs,South,1,Media,1,2,74,5,50,,49389734
26,Carl,Yang,S,23,,72,178,Georgia,Dawgs,South,1,Media,1,2,74,5,50,,49389909
41,C.J.,Espinoza,OLB,22,,76,236,Oklahoma,Wagoneers,Great Plains,1,Media,1,2,74,5,50,,49389853
19,Steven,Tobin,P,23,,75,214,Cincinnati,Cubs,Midwest,1,Media,1,2,74,5,50,,49389963
24,Tarell,Ingram,CB,22,,69,170,Fresno State,Dogs,California,1,Media,1,2,74,5,50,,49389888
91,Ricardo,Johnson,OLB,20,Professional,77,266,Clemson,Wildcats,South,1,American Player Scouts,1,5,74,2,65,,49389847
60,Russell,Jones,DT,21,Strategic,73,302,East Carolina,Buccaneers,South,1,American Player Scouts,1,6,74,2,65,,49389798
83,Donald,Engle,TE,23,Adaptable,75,258,Arizona,Tigers,Southwest,1,American Player Scouts,1,7,74,2,65,,49389659
57,Gabriel,Wright,OLB,23,Strategic,72,280,Southern California,Spartans,California,1,American Player Scouts,1,8,74,2,65,,49389857
33,Ryan,Smith,CB,23,Aggressive,72,175,South Bend,Leprechauns,Midwest,1,American Player Scouts,1,11,74,2,65,,49389881
70,Jamal,Reed,G,23,Professional,77,286,Michigan,Weasels,Midwest,1,American Player Scouts,1,11,74,2,65,,49389720
43,Devante,Davis,CB,22,Strategic,71,196,Long Island,Dolphins,Mid-Atlantic,2,American Player Scouts,1,14,74,2,65,,49389870
20,Louis,Hilton,HB,21,Professional,69,199,Navy,Sailors,Mid-Atlantic,1,American Player Scouts,1,14,74,2,65,,49389572
24,Ricardo,Ritter,S,21,Strategic,72,204,Arkansas,Boars,South,1,American Player Scouts,1,15,74,2,65,,49389933
68,Henry,Williams,DT,21,Energetic,77,319,Tennessee,Militiamen,South,1,American Player Scouts,1,15,74,2,65,"Henry needs to play with better discipline and anticipation as a pro. He needs to add a few more items to his rush menu in order to maintain his rush production against PFL tackles. He's likely to be coveted by traits-based evaluators eager to develop the physical ingredients into a more polished product. Overall, Henry was generally solid, but sometimes made some mistakes. Like all college Defensive Tackles, Williams has some things to work on for the PFL. His name was mentioned many times by our scouts after leaving the facility for showing outstanding leadership potential. ",49389790
10,Josh,Caldwell,QB,23,Adaptable,74,214,Colorado State,Goats,Rockies,1,American Player Scouts,1,20,74,2,65,"Josh needs to play with better discipline and anticipation as a pro. He doesn't have the arm strength or release quickness to consistently survive off-target throws against pro coverage. He is a classic pocket passer, and not really a dual-threat quarterback. Caldwell should spend more time in the film room to help improve his inconsistent play. Caldwell is low-key and calm off the field, and is likely to remain focused. Like all college Quarterbacks, Caldwell has some things to work on for the PFL. He brings great upside, and his potential shouldn't be overlooked. ",49389543
87,John,Clark,WR,23,Aggressive,71,184,East Carolina,Buccaneers,South,1,American Player Scouts,1,21,74,2,65,"Unfortunately, Clark probably won't hear his name called until the late second or third day of the draft. A decent WR in 4- or 5-WR sets, but probably won't be a primary PFL receiver. John proved to our scouts that his performance matched his reputation. Clark may actually end up being limited to the slot as a pro because of his thin frame and low weight. Like all college Wide Receivers, Clark has some things to work on for the PFL. Clark is a player that has the potential to become an All-Pro someday. ",49389637
36,Ronald,Durham,CB,21,,70,220,Mississippi State,Wild Dogs,South,1,Media,1,2,73,5,50,,49389900
15,Rob,Hawthorne,WR,22,,77,194,Oklahoma,Wagoneers,Great Plains,1,Media,1,2,73,5,50,,49389607
70,Jamal,Reed,G,23,,77,286,Michigan,Weasels,Midwest,1,Media,1,2,73,5,50,,49389720
38,Jonathan,Brown,CB,23,,75,194,Illinois,Chiefs,Midwest,1,Media,1,2,73,5,50,,49389869
10,Josh,Caldwell,QB,23,,74,214,Colorado State,Goats,Rockies,1,Media,1,2,73,5,50,,49389543
15,Raymond,Dougherty,WR,23,,72,212,Weber State,Cougars,Great Basin,2,Media,1,2,73,5,50,,49389640
51,Gabriel,Reeves,DT,23,,77,310,Florida State,Chiefs,Florida,1,Media,1,2,73,5,50,,49389782
3,Russell,Wood,K,23,,71,204,Alabama,Red Wave,South,1,Media,1,2,73,5,50,,49389950
17,Austin,Oliver,CB,20,,69,182,Georgia,Dawgs,South,1,Media,1,2,73,5,50,,49389889
44,Jermaine,Brandon,CB,22,,73,209,Provo,Wildcats,Great Basin,1,Media,1,2,73,5,50,,49389891
43,David,Flowers,HB,21,,71,190,Alabama,Red Wave,South,1,Media,1,2,73,5,50,,49389563
48,Daniel,Johnson,CB,20,,71,189,New Jersey,Paladins,Mid-Atlantic,1,Media,1,2,73,5,50,,49389887
13,Daniel,Elliott,QB,22,,68,209,Florida,Manatees,Florida,1,Media,1,2,73,5,50,,49389558
69,Jeff,Kane,DT,22,Energetic,73,331,Kentucky,Tigers,South,1,American Player Scouts,1,5,73,2,65,,49389779
44,Andre,Hart,CB,22,Energetic,71,194,Louisville,Finches,South,1,American Player Scouts,1,6,73,2,65,,49389860
42,Tarell,Farmer,TE,21,Professional,77,252,Clemson,Wildcats,South,1,American Player Scouts,1,6,73,2,65,,49389657
25,Brandon,Tate,HB,23,Professional,69,190,Daytona,Hurricanes,South,2,American Player Scouts,1,6,73,2,65,,49389581
27,Carl,Cook,CB,22,Aggressive,69,198,California-Los Angeles,Bears,California,1,American Player Scouts,1,8,73,2,65,,49389862
53,Da'Norris,Downs,DE,22,Strategic,77,253,Michigan,Weasels,Midwest,1,American Player Scouts,1,10,73,2,65,,49389772
60,Albert,Jenkins,DE,21,Aggressive,78,274,South Bend,Leprechauns,Midwest,1,American Player Scouts,1,11,73,2,65,,49389747
88,Linval,Shields,WR,23,Aggressive,78,188,Army,Infantry,New York,1,American Player Scouts,1,13,73,2,65,,49389631
88,Linval,Shields,WR,23,Aggressive,78,188,Army,Infantry,New York,1,American Player Scouts,1,13,73,2,65,,49389631
31,Brad,Bowers,CB,21,Energetic,74,203,Indiana,Groundhogs,Midwest,1,American Player Scouts,1,16,73,2,65,"Brad needs to play with better discipline and anticipation as a pro. Brad does not have excellent hands and is thus not a real threat to create interceptions and make game-changing plays on defense. He is a poor blitzer who lacks vision and the ability to fight through blocks. He is susceptible to giving up some separation early in routes as he turns to trailing technique. Overall, Brad was generally solid, but sometimes made some mistakes. Like all college Cornerbacks, Bowers has some things to work on for the PFL. He brings great upside, and his potential shouldn't be overlooked. ",49389865
16,Tramaine,Glover,WR,23,Professional,78,190,Tulsa,Tornadoes,Great Plains,1,American Player Scouts,1,17,73,2,65,"Unfortunately, Glover probably won't hear his name called until the late second or third day of the draft. Will likely see the field in the PFL, but not on every down. Overall, Tramaine was generally solid, but sometimes made some mistakes. Like all college Wide Receivers, Glover has some things to work on for the PFL. Glover should be able to compete for most starting depth chart positions when he reaches his full potential. ",49389620
58,Keith,McCullough,OLB,21,,75,262,Arkansas,Boars,South,1,Media,1,2,72,5,50,,49389805
31,Brad,Bowers,CB,21,,74,203,Indiana,Groundhogs,Midwest,1,Media,1,2,72,5,50,,49389865
11,Vernon,Marks,WR,20,,70,206,Texas A&M,Ranchers,Texas,1,Media,1,2,72,5,50,,49389604
23,Matthew,Stewart,S,20,,72,219,Miami (FL),Storms,Florida,1,Media,1,2,72,5,50,,49389912
70,Zaire,Richards,G,21,,75,300,Illinois State,Cardinals,Midwest,2,Media,1,2,72,5,50,,49389693
23,William,Roberts,HB,21,,68,196,Michigan,Weasels,Midwest,1,Media,1,2,72,5,50,,49389575
26,Michael,Schmidt,WR,23,,69,195,Alabama,Red Wave,South,1,Media,1,2,72,5,50,,49389605
80,Zaire,Roberts,WR,23,,75,212,Louisville,Finches,South,1,Media,1,2,72,5,50,,49389612
47,Greg,Williams,OLB,22,,74,255,Florida,Manatees,Florida,1,Media,1,2,72,5,50,,49389806
7,Jordan,Jones,CB,22,,74,183,Oklahoma State,Rangers,Great Plains,1,Media,1,2,72,5,50,,49389897
61,Branson,Frank,DT,22,,74,292,Utah State,Settlers,Great Basin,1,Media,1,2,72,5,50,,49389784
25,Tommy,Franklin,CB,23,,74,195,North Carolina,Rams,South,1,Media,1,2,72,5,50,,49389893
8,Blaine,Elliott,P,22,,72,197,North Carolina,Rams,South,1,Media,1,2,72,5,50,,49389965
49,Ryan,Howard,WR,22,,75,215,Durham,Devils,South,1,Media,1,2,72,5,50,,49389644
75,Keith,Person,G,21,,76,325,Mississippi,Insurgents,South,1,Media,1,2,72,5,50,,49389719
87,John,Clark,WR,23,,71,184,East Carolina,Buccaneers,South,1,Media,1,2,72,5,50,,49389637
30,Cam,Batson,K,21,,69,187,Ohio State,Acorns,Midwest,1,Media,1,2,72,5,50,,49389948
0,Riley,Bivens,WR,23,,68,193,Florida State,Chiefs,Florida,1,Media,1,2,72,5,50,,49389622
5,Robert,Sexton,QB,23,Professional,76,219,Arizona State,Sun Demons,Southwest,1,American Player Scouts,1,7,72,2,65,,49389542
63,Bruce,Wood,G,23,Professional,78,330,Arizona State,Sun Demons,Southwest,1,American Player Scouts,1,7,72,2,65,,49389726
